	transcript	riboseq(control)	riboseq(RK33)	rnaseq(control)	rnaseq(RK33)	TE(control)	TE(RK33)	log2(TE(control))	log2(TE(RK33))
4787	NM_001118893	9.18643441247	4.27658223764	7.74228894113	5.47668292568	1.18652694085	0.780870884014	0.24674485821	-0.356844074551
4788	NM_198210	100.42143529	63.2992985822	68.2767835902	94.4630350284	1.4707991503	0.670095964661	0.556600248195	-0.577560375694
4789	NM_001012487	18.1791361069	10.1456725403	24.9224414006	40.3299190323	0.729428382023	0.251566895837	-0.455161758927	-1.99098600715
4790	NM_199918	7.13548338529	2.52210605783	36.202851274	29.9441172752	0.197097276435	0.084227096583	-2.34302025408	-3.56957175438
4791	NM_001089562	14.9641875816	5.8769308433	11.5920188976	13.0402275155	1.29090434667	0.45067701743	0.368382103901	-1.14983421414
4792	NM_001243164	4.50736475229	11.6832609332	86.0614283134	64.0659518651	0.0523738083439	0.182363027366	-4.25501067609	-2.45511483053
4793	NM_001077312	13.1866531189	17.5681995499	14.2033443248	16.0408951446	0.928418886239	1.09521316557	-0.107152224072	0.131211694467
4794	NM_001328259	4.85414199456	1.5837634497	10.5224212762	9.66908035911	0.461314165927	0.163796699467	-1.11617849986	-2.61002180818
4795	NM_001089566	8.42598328893	11.9129832409	2.17912687968	1.96249647818	3.86667860761	6.07032082521	1.95109485481	2.60177276701
4796	NM_199784	10.3229895687	20.6763131544	89.9529239143	99.3004905556	0.11475991129	0.208219647644	-3.12330933688	-2.26382188686
4797	NM_181735	1.44705607114	4.09180842948	0.296725512711	0.261733607963	4.87674975407	15.6334849824	2.2859199437	3.96656751151
4798	NM_001130657	1.00762248779	2.13692385776	11.883465541	13.489169361	0.084791972873	0.158417749868	-3.55992849626	-2.65819410409
4799	NM_001320403	1.51043078959	1.42367057279	1.8701236311	2.36643728073	0.807663602808	0.601609256405	-0.308173568762	-0.733101330286
4800	NM_001320404	22.6715059752	5.76969441596	63.0815438307	72.5931963818	0.359399986089	0.0794798232277	-1.47633774188	-3.6532675259
4801	NM_001003944	20.0327322324	1.77019105049	95.066321549	78.8463376023	0.210723754806	0.0224511512433	-2.24657513712	-5.47706676483
4802	NM_001083838	32.9409435587	8.46785246623	41.6843460111	31.3779939842	0.790247340091	0.269865959898	-0.339623820745	-1.88968508393
4803	NM_001024409	252.913244434	82.2169755786	934.342083427	864.660683711	0.270685917845	0.0950858262986	-1.8853082601	-3.39462588394
4804	NM_001317001	1.78247392319	0.630032758377	9.21071310388	9.86459632617	0.193521815639	0.0638680730103	-2.3694318849	-3.96876126675
4805	NR_137168	5.70957993288	1.34540440209	7.9501242727	16.4564215748	0.718174928722	0.0817555867765	-0.47759280507	-3.61253886908
4806	NM_001017632	68.4945057469	29.3979175746	258.02880675	279.452032878	0.265452941513	0.105198438787	-1.91347196668	-3.24881480063
4807	NM_001013285	6.96091498443	1.64026877155	13.8522634889	26.8362621526	0.502511014897	0.0611213574462	-0.992772874788	-4.03217960518
4808	NR_137312	10.9962280189	11.1049252236	65.6568868674	75.1646975746	0.167480192003	0.147741234674	-2.57793761775	-2.75885555546
4809	NM_001002300	5.86654432966	10.0717092427	49.488381067	46.5073579613	0.118543872383	0.216561629906	-3.07650700407	-2.20715044404
4810	NR_137317	15.2971720424	2.16277374314	52.1328778725	64.8633686878	0.293426579668	0.0333435309774	-1.76892853329	-4.90644930039
4811	NR_137316	3.14177943397	2.22098504471	3.09693614114	3.93640918941	1.01447988941	0.564215999364	0.0207402660431	-0.825680518159
4812	NM_001045191	0.468647148427	0.662591585297	1.29595362961	0.873557546587	0.361623392781	0.758497923675	-1.46744008871	-0.398782863667
4813	NM_001013573	20.8372289442	11.2230421266	208.947161883	170.293255698	0.0997248718596	0.0659042078948	-3.32590282524	-3.92348560747
4814	NM_001045106	25.624854293	5.69319405399	5.50756801212	4.86107318071	4.65266234327	1.17118048677	2.21805649048	0.227963421952
4815	NM_001267589	38.2601891765	32.604449116	14.9539078147	28.6789761261	2.55854119543	1.13687632964	1.35532146257	0.185075325186
4816	NM_199828	1.36545842826	4.34371115298	6.93583998124	10.2666045726	0.196869943937	0.423091307575	-2.34468522257	-1.24095904911
4817	NM_001089368	18.1592235858	5.58135159519	11.1778357654	18.2383869024	1.62457419906	0.306022217045	0.700061637279	-1.7082916993
4818	NM_001083123	3.01714341969	1.52348387133	1.07574416434	0.943099914786	2.80470349708	1.61540028521	1.48784826249	0.691891699246
4819	NM_001007344	17.9701515782	3.1758624965	35.2781702977	61.2707542422	0.509384455785	0.0518332528427	-0.973173159428	-4.26997825558
4820	NM_001089365	3.75304072532	7.95929265405	18.6897584157	18.3659697823	0.200807342815	0.433371760293	-2.31611607037	-1.20632294841
4821	NM_199825	28.3053164756	15.0071844394	47.2622463867	68.5348699044	0.598899092608	0.218971517132	-0.739615148397	-2.19118487239
4822	NM_001045258	3.26730028695	3.84953029879	29.5873709698	27.1735352181	0.110428881643	0.141664684698	-3.17881055	-2.81944793834
4823	NM_212885	7.82205910622	8.29434878812	56.7683466385	29.8753807468	0.137789094969	0.277631567558	-2.85946638142	-1.84875647881
4824	NM_001161333	3.08013423533	0.435481370743	0.873406642347	1.04768311354	3.52657523539	0.415661343697	1.81826781827	-1.26651951062
4825	NM_001161332	3.70659371423	2.3582369295	6.34753764467	9.09261637719	0.583941982186	0.259357354547	-0.776103058265	-1.94698681438
4826	NM_001089363	46.6699183579	13.4966756608	81.5304209453	80.011499138	0.572423370526	0.168684199224	-0.804845520214	-2.56760325326
4827	NM_199823	101.001068394	35.6998107471	158.24588586	322.87138501	0.638253992166	0.110569757509	-0.647797438424	-3.17697125415
4828	NM_001202507	3.05123217146	3.35529510106	7.39282794851	7.73577261041	0.412728686872	0.433737555386	-1.27673437796	-1.2051057298
4829	NM_001080162	2.78948431361	4.6011951202	2.02105467885	2.29146544222	1.38021219455	2.0079705482	0.464890084755	1.00573810879
4830	NM_001080163	15.9454935195	9.86315731547	28.0376508586	37.1279328164	0.568717172488	0.265653284934	-0.814216727578	-1.91238354233
4831	NM_001080166	5.42818569136	1.27909671295	9.18021427376	10.945398036	0.591291829307	0.116861598705	-0.758057753351	-3.09712716381
