value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_001145601	15984	76933	-2.26697407904803	-2.05543007079007	-188.924031004441	0	0	0	TRUE
NM_200130	6046	51896	-3.10157045985065	-2.89002645159269	-188.784697778595	0	0	0	TRUE
NM_001020484	603	35228	-5.86842075865067	-5.65687675039271	-188.48510162167	0	0	0	TRUE
NM_201169	7446	55661	-2.90212930691617	-2.69058529865821	-188.422543575431	0	0	0	TRUE
NM_001017874	5040	48787	-3.27500113325188	-3.06345712499392	-188.281449224515	0	0	0	TRUE
NM_001002655	4613	47263	-3.35693400919204	-3.14539000093409	-187.590857811374	0	0	0	TRUE
NM_001006043	855	35278	-5.3667005429202	-5.15515653466224	-187.503510956243	0	0	0	TRUE
NM_200922	2435	40291	-4.04846393539158	-3.83691992713362	-187.419480855279	0	0	0	TRUE
NM_001305583	4592	47076	-3.35779719412256	-3.14625318586461	-187.242717332911	0	0	0	TRUE
NM_001002748	5440	49575	-3.18793421586587	-2.97639020760791	-187.205331014419	0	0	0	TRUE
NM_001005978	4020	45312	-3.49462576401671	-3.28308175575875	-187.197912920373	0	0	0	TRUE
NM_201332	4342	46257	-3.41324007188487	-3.20169606362692	-187.071317189356	0	0	0	TRUE
NM_201469	12570	68035	-2.43629246919316	-2.2247484609352	-186.735081576653	0	0	0	TRUE
NM_200302	15206	73955	-2.2820069931458	-2.07046298488784	-186.099949355932	0	0	0	TRUE
NM_001044848	9704	60521	-2.64078437010523	-2.42924036184728	-185.612352738678	0	0	0	TRUE
NM_213080	49871	142291	-1.51257137639105	-1.30102736813309	-185.368469914321	0	0	0	TRUE
NM_001017593	95674	220044	-1.20159321210291	-0.990049203844954	-185.160190335011	0	0	0	TRUE
NM_001077343	11838	65630	-2.47093007120582	-2.25938606294786	-185.145045911605	0	0	0	TRUE
NM_199953	4231	45073	-3.41319288633942	-3.20164887808146	-184.66025352612	0	0	0	TRUE
NM_001163988	4471	45779	-3.35601649790307	-3.14447248964512	-184.597571290026	0	0	0	TRUE
NM_001003548	13547	69470	-2.35841669699299	-2.14687268873503	-184.563652471704	0	0	0	TRUE
NM_001002419	7785	54901	-2.81806348317239	-2.60651947491443	-183.94528202638	0	0	0	TRUE
NM_212806	3159	41458	-3.71411067802032	-3.50256666976236	-183.900522552985	0	0	0	TRUE
NM_001030227	7070	52935	-2.90443981069148	-2.69289580243353	-183.834290954907	0	0	0	TRUE
NM_001045444	6017	49995	-3.05466755628891	-2.84312354803096	-183.774989525889	0	0	0	TRUE
NM_001002684	10159	60811	-2.58157391638752	-2.37002990812956	-183.393949324366	0	0	0	TRUE
NM_001003532	11878	64821	-2.4481693396879	-2.23662533142995	-182.866569660187	0	0	0	TRUE
NM_198804	2369	38509	-4.02284555608986	-3.8113015478319	-182.814214417606	0	0	0	TRUE
NM_131599	13625	68875	-2.33772418379423	-2.12618017553627	-182.654056170008	0	0	0	TRUE
NM_001114580	7997	54929	-2.78003723436374	-2.56849322610579	-182.506744968622	0	0	0	TRUE
NM_213424	2426	38574	-3.99097730099835	-3.77943329274039	-182.443342819883	0	0	0	TRUE
NM_001326696	20982	84970	-2.01780136301831	-1.80625735476035	-182.180198331415	0	0	0	TRUE
NM_200993	17711	77910	-2.13716284277688	-1.92561883451893	-182.165787735345	0	0	0	TRUE
NM_001083016	2515	38712	-3.94415053918391	-3.73260653092595	-181.975662077369	0	0	0	TRUE
NM_200958	9714	59138	-2.60594806201318	-2.39440405375523	-181.943051504497	0	0	0	TRUE
NM_001003758	14305	70049	-2.29184495762971	-2.08030094937175	-181.668466482537	0	0	0	TRUE
NM_130926	66969	170015	-1.34409670677433	-1.13255269851637	-181.621929152172	0	0	0	TRUE
NM_001045008	981	33546	-5.09574380413118	-4.88419979587322	-181.560419273479	0	0	0	TRUE
NM_201010	2423	38095	-3.97473534533452	-3.76319133707657	-181.036664154144	0	0	0	TRUE
NM_001007335	3586	41800	-3.54305554898723	-3.33151154072928	-180.92391091476	0	0	0	TRUE
NM_199809	267	33229	-6.95945932479948	-6.74791531654153	-180.748132139594	0	0	0	TRUE
NM_131679	4172	43492	-3.38193899036461	-3.17039498210665	-180.597296346331	0	0	0	TRUE
NM_001007440	1841	35981	-4.28867375137017	-4.07712974311221	-180.525868037222	0	0	0	TRUE
NM_200141	2822	39131	-3.79352208600271	-3.58197807774476	-180.218083487301	0	0	0	TRUE
NM_001003609	6519	50075	-2.94136793568499	-2.72982392742704	-180.094314948511	0	0	0	TRUE
NM_001003611	2103	36386	-4.11286270579803	-3.90131869754007	-179.084789451927	0	0	0	TRUE
NM_001136249	13374	66808	-2.32058984777192	-2.10904583951397	-178.972916522282	0	0	0	TRUE
NM_001044988	8935	55994	-2.6477326100408	-2.43618860178285	-178.82979597737	0	0	0	TRUE
