"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_001076772	1017	706	0.526579590586319	0.773996249899054	11.0631650068451	1.89297622071031e-28	2.8316527276674e-28	8.49679645744458e-30	TRUE
NM_001089463	416	196	1.08572987402588	1.33314653333862	11.0617409267614	1.92327764556059e-28	2.87665459285691e-28	8.63183126767558e-30	TRUE
NM_001030252	4245	3948	0.104642563984003	0.352059223296738	11.0609801900143	1.93966119199324e-28	2.90083160746723e-28	8.7043780069298e-30	TRUE
NM_001328067	0	136	-8.08746284125034	-7.8400461819376	-11.0548705544802	2.07636139390895e-28	3.10421893817055e-28	9.31256750058785e-30	TRUE
NM_205731	0	136	-8.08746284125034	-7.8400461819376	-11.0548705544802	2.07636139390895e-28	3.10421893817055e-28	9.31256750058785e-30	TRUE
NM_001112675	0	136	-8.08746284125034	-7.8400461819376	-11.0548705544802	2.07636139390895e-28	3.10421893817055e-28	9.31256750058785e-30	TRUE
NM_001089364	0	136	-8.08746284125034	-7.8400461819376	-11.0548705544802	2.07636139390895e-28	3.10421893817055e-28	9.31256750058785e-30	TRUE
NM_001163291	0	136	-8.08746284125034	-7.8400461819376	-11.0548705544802	2.07636139390895e-28	3.10421893817055e-28	9.31256750058785e-30	TRUE
NM_001113800	151	24	2.65344223860392	2.90085889791666	11.0517625478876	2.14952646862874e-28	3.2125138039565e-28	9.63962693668119e-30	TRUE
NM_200714	1001	692	0.532598031199267	0.780014690512002	11.0496092841243	2.20171014658472e-28	3.29013179912609e-28	9.87253131084653e-30	TRUE
NM_001308559	67	296	-2.14336417517118	-1.89594751585844	-11.0478039410006	2.24642919088886e-28	3.35657872666861e-28	1.00719152300097e-29	TRUE
NM_199700	5107	7396	-0.53426916569178	-0.286852506379046	-11.0424823745469	2.38355626372484e-28	3.56106966184997e-28	1.06855207885768e-29	TRUE
NM_001089545	159	28	2.50552803322675	2.75294469253949	11.0419093888856	2.39880739029644e-28	3.58345044383112e-28	1.07526776638512e-29	TRUE
NM_001020555	271	682	-1.3314788876703	-1.08406222835757	-11.0370014248905	2.5334715417723e-28	3.78419078450996e-28	1.13550290040705e-29	TRUE
NM_001328009	14	160	-3.51457317282976	-3.26715651351702	-11.0367147451408	2.54156522516547e-28	3.79585161916292e-28	1.13900190781012e-29	TRUE
NM_001114466	131	428	-1.7080439848637	-1.46062732555096	-11.0363726430061	2.55125719351759e-28	3.80989660580487e-28	1.14321631558612e-29	TRUE
NM_001045308	8269	11492	-0.47484512324082	-0.227428463928086	-11.0263039323368	2.85352743631124e-28	4.26080820560141e-28	1.27851906815662e-29	TRUE
NR_135189	37	224	-2.59790155642865	-2.35048489711592	-11.0122951339762	3.33400485916265e-28	4.97768204599199e-28	1.49362775884989e-29	TRUE
NM_001012375	203	52	1.96489619904408	2.21231285835682	11.0110655667818	3.37982432366678e-28	5.04552133887343e-28	1.51398395075854e-29	TRUE
NM_200194	11021	15002	-0.44489971320221	-0.197483053889475	-10.9963919358534	3.97729020100502e-28	5.93676970323753e-28	1.78141631882545e-29	TRUE
NM_001103129	1950	1600	0.285402218862247	0.532818878174982	10.9958499344491	4.00125936623384e-28	5.97187396217033e-28	1.791949875431e-29	TRUE
NM_200608	0	134	-8.06608919045777	-7.81867253114504	-10.9839750342858	4.56389579554594e-28	6.80853594214324e-28	2.04231195848981e-29	TRUE
NM_001017714	0	134	-8.06608919045777	-7.81867253114504	-10.9839750342858	4.56389579554594e-28	6.80853594214324e-28	2.04231195848981e-29	TRUE
